publication,firstName,lastName,networkId,rank
https://scholars.uow.edu.au/display/publication103466,Chris,Gibson,cgibson,1
https://scholars.uow.edu.au/display/publication67412,Will,Price,wprice,2
https://scholars.uow.edu.au/display/publication67412,William,Price,wprice,2
https://scholars.uow.edu.au/display/publication67403,Will,Price,wprice,1
https://scholars.uow.edu.au/display/publication67403,William,Price,wprice,1
https://scholars.uow.edu.au/display/publication62740,Alison,Jones,alisonj,3
https://scholars.uow.edu.au/display/publication59130,Gordon,Wallace,gwallace,6
https://scholars.uow.edu.au/display/publication59130,Jun,Chen,junc,4
https://scholars.uow.edu.au/display/publication87851,Long,Nghiem,longn,2
https://scholars.uow.edu.au/display/publication87851,Will,Price,wprice,3
https://scholars.uow.edu.au/display/publication87851,William,Price,wprice,3
https://scholars.uow.edu.au/display/publication19780,Mohammad,Zamani,reza,2
https://scholars.uow.edu.au/display/publication19780,Amnon,Levy,levy,1
https://scholars.uow.edu.au/display/publication109559,Qinghua,Guo,qguo,4
https://scholars.uow.edu.au/display/publication116494,Jeremy,Crook,jcrook,3
https://scholars.uow.edu.au/display/publication116494,Gordon,Wallace,gwallace,4
https://scholars.uow.edu.au/display/publication116494,Xiao,Liu,xiaol,2
https://scholars.uow.edu.au/display/publication64797,Song-Ping,Zhu ,spz,1
https://scholars.uow.edu.au/display/publication129474,Luke,Johnson,lukej,1
https://scholars.uow.edu.au/display/publication64794,Ngamta,Thamwattana,ngamta,1
https://scholars.uow.edu.au/display/publication37491,Sue,Turnbull,sturnbul,1
https://scholars.uow.edu.au/display/publication80872,Erika,van Hell,erikavh,3
https://scholars.uow.edu.au/display/publication73727,Tony,Okely,tokely,3
https://scholars.uow.edu.au/display/publication73727,Anthony,Okely,tokely,3
https://scholars.uow.edu.au/display/publication92497,Gordon,Wallace,gwallace,6
https://scholars.uow.edu.au/display/publication92497,Jeremy,Crook,jcrook,5
https://scholars.uow.edu.au/display/publication92497,Anita,Quigley,anitaq,7
https://scholars.uow.edu.au/display/publication24293,Nigel,Taylor,ntaylor,5
https://scholars.uow.edu.au/display/publication26218,Anatoly,Rosenfeld,anatoly,3
https://scholars.uow.edu.au/display/publication26218,Nicholas,Hardcastle,nhardc,1
https://scholars.uow.edu.au/display/publication26218,Peter,Metcalfe,metcalfe,2
https://scholars.uow.edu.au/display/publication111007,Maria,Mackay,mmackay,1
https://scholars.uow.edu.au/display/publication26490,Zaiping,Guo,zguo,2
https://scholars.uow.edu.au/display/publication26490,Hua,Liu,hua,7
https://scholars.uow.edu.au/display/publication26490,Hua-Kun,Liu,hua,7
https://scholars.uow.edu.au/display/publication111117,Shujun,Zhang,shujun,3
https://scholars.uow.edu.au/display/publication92222,Aelee,Jun,ajun,1
https://scholars.uow.edu.au/display/publication50492,Zhixin ,Chen,zchen,4
https://scholars.uow.edu.au/display/publication127655,Xiaoqi,Feng,xfeng,3
https://scholars.uow.edu.au/display/publication127655,Thomas,Astell-Burt,thomasab,1
https://scholars.uow.edu.au/display/publication35085,Zhengyi,Jiang,jiang,3
https://scholars.uow.edu.au/display/publication37412,Zaiping,Guo,zguo,2
https://scholars.uow.edu.au/display/publication37412,Hua,Liu,hua,5
https://scholars.uow.edu.au/display/publication37412,Hua-Kun,Liu,hua,5
